,Superstep,ActivePartitions,ActiveVM,MigrationCost,P_MAX,V_MAX,Total_TIME
1,1,1,1,0,4388,4388,4388
2,2,5,5,10297,4107,4107,14404
3,3,8,4,14230,2812,2812,17042
4,4,7,3,14230,3577,3577,17807
5,5,7,2,18163,3539,3539,21702
6,6,7,2,14230,2609,2609,16839
7,7,6,3,14230,2723,2723,16953
8,8,5,2,12263,3163,3163,15426
9,9,5,2,14230,2328,2328,16558
10,10,4,2,10297,1005,1122,11419
11,11,4,2,10297,3038,3038,13335
12,12,3,2,0,142,249,249
13,13,2,2,10297,1251,1251,11548
14,14,2,2,0,85,85,85
15,15,2,2,0,21,21,21
16,16,2,2,0,10,10,10
17,17,2,2,0,17,17,17
18,18,2,2,0,18,18,18
19,19,1,1,0,2,2,2
20,20,2,2,0,1,1,1
