SourceVertex,SubgraphId,PartitionId:700,8589934609,2
superstep,partition,subgraphID,time
0,18,77309411333,8
0,18,77309411334,36
0,18,77309411347,7
0,18,77309411341,26
0,18,77309411340,1
0,18,77309411346,5
0,18,77309411335,0
0,18,77309411328,2
0,18,77309411336,1
0,18,77309411330,7
0,18,77309411343,0
0,18,77309411344,32
0,18,77309411338,1
0,18,77309411329,7
0,18,77309411345,0
0,18,77309411337,0
0,18,77309411331,0
0,18,77309411342,1
0,18,77309411339,1088
0,18,77309411332,0
0,38,163208757268,1
0,38,163208757254,0
0,38,163208757253,1
0,38,163208757267,0
0,38,163208757261,0
0,38,163208757260,0
0,38,163208757266,0
0,38,163208757255,0
0,38,163208757248,0
0,38,163208757256,1
0,38,163208757250,0
0,38,163208757263,1
0,38,163208757264,4
0,38,163208757249,2
0,38,163208757258,1
0,38,163208757265,0
0,38,163208757257,1
0,38,163208757251,0
0,38,163208757269,1187
0,38,163208757262,0
0,38,163208757259,1
0,38,163208757252,0
1,18,77309411333,33
1,18,77309411334,21
1,18,77309411347,17
1,18,77309411341,1
1,18,77309411340,3
1,18,77309411346,8
1,18,77309411335,0
1,18,77309411328,20
1,18,77309411336,1
1,18,77309411330,0
1,18,77309411343,12
1,18,77309411344,2
1,18,77309411338,0
1,18,77309411329,5
1,18,77309411345,6
1,18,77309411337,1
1,18,77309411331,1
1,18,77309411342,0
1,18,77309411339,291
1,18,77309411332,0
1,38,163208757268,3
1,38,163208757254,4
1,38,163208757253,8
1,38,163208757267,2
1,38,163208757261,6
1,38,163208757260,1
1,38,163208757266,6
1,38,163208757255,6
1,38,163208757248,5
1,38,163208757256,2
1,38,163208757250,3
1,38,163208757263,0
1,38,163208757264,16
1,38,163208757249,11
1,38,163208757258,5
1,38,163208757265,16
1,38,163208757257,9
1,38,163208757251,3
1,38,163208757269,311
1,38,163208757262,16
1,38,163208757259,6
1,38,163208757252,6
2,18,77309411333,3
2,18,77309411334,0
2,18,77309411347,0
2,18,77309411341,1
2,18,77309411340,0
2,18,77309411346,1
2,18,77309411335,0
2,18,77309411328,1
2,18,77309411336,0
2,18,77309411330,0
2,18,77309411343,0
2,18,77309411344,0
2,18,77309411338,0
2,18,77309411329,0
2,18,77309411345,0
2,18,77309411337,0
2,18,77309411331,0
2,18,77309411342,0
2,18,77309411339,25
2,18,77309411332,0
2,38,163208757268,0
2,38,163208757254,0
2,38,163208757253,0
2,38,163208757267,0
2,38,163208757261,1
2,38,163208757260,0
2,38,163208757266,0
2,38,163208757255,0
2,38,163208757248,0
2,38,163208757256,0
2,38,163208757250,0
2,38,163208757263,0
2,38,163208757264,0
2,38,163208757249,0
2,38,163208757258,0
2,38,163208757265,0
2,38,163208757257,0
2,38,163208757251,0
2,38,163208757269,32
2,38,163208757262,0
2,38,163208757259,0
2,38,163208757252,0
3,18,77309411333,1
3,18,77309411334,17
3,18,77309411347,2
3,18,77309411341,6
3,18,77309411340,0
3,18,77309411346,0
3,18,77309411335,0
3,18,77309411328,0
3,18,77309411336,0
3,18,77309411330,0
3,18,77309411343,0
3,18,77309411344,4
3,18,77309411338,0
3,18,77309411329,1
3,18,77309411345,0
3,18,77309411337,0
3,18,77309411331,0
3,18,77309411342,1
3,18,77309411339,92
3,18,77309411332,0
3,38,163208757268,0
3,38,163208757254,0
3,38,163208757253,0
3,38,163208757267,1
3,38,163208757261,0
3,38,163208757260,0
3,38,163208757266,0
3,38,163208757255,0
3,38,163208757248,0
3,38,163208757256,0
3,38,163208757250,0
3,38,163208757263,0
3,38,163208757264,1
3,38,163208757249,1
3,38,163208757258,0
3,38,163208757265,0
3,38,163208757257,0
3,38,163208757251,0
3,38,163208757269,73
3,38,163208757262,0
3,38,163208757259,0
3,38,163208757252,0
4,18,77309411339,3219
4,38,163208757269,3141
4,38,163208757262,1
5,18,77309411333,7
5,18,77309411334,33
5,18,77309411347,3
5,18,77309411341,7
5,18,77309411340,1
5,18,77309411346,1
5,18,77309411335,1
5,18,77309411328,2
5,18,77309411336,2
5,18,77309411330,3
5,18,77309411343,1
5,18,77309411344,47
5,18,77309411338,1
5,18,77309411329,13
5,18,77309411345,1
5,18,77309411337,1
5,18,77309411331,1
5,18,77309411342,2
5,18,77309411339,1437
5,18,77309411332,1
5,38,163208757268,1
