SourceVertex,SubgraphId,PartitionId:1,20,0
superstep,partition,subgraphID,time
0,3,12884901893,3
0,3,12884901894,1
0,3,12884901901,2870
0,3,12884901900,2
0,3,12884901888,1
0,3,12884901895,1
0,3,12884901896,1
0,3,12884901890,1
0,3,12884901897,0
0,3,12884901898,0
0,3,12884901889,0
0,3,12884901891,1
0,3,12884901899,1
0,3,12884901892,1
1,3,12884901893,81
1,3,12884901894,20
1,3,12884901901,282
1,3,12884901900,51
1,3,12884901888,71
1,3,12884901895,28
1,3,12884901896,20
1,3,12884901890,60
1,3,12884901897,25
1,3,12884901898,20
1,3,12884901889,27
1,3,12884901891,27
1,3,12884901899,46
1,3,12884901892,49
2,3,12884901893,2
2,3,12884901894,0
2,3,12884901901,1338
2,3,12884901900,0
2,3,12884901888,0
2,3,12884901895,0
2,3,12884901896,0
2,3,12884901890,0
2,3,12884901897,0
2,3,12884901898,0
2,3,12884901889,0
2,3,12884901891,0
2,3,12884901899,0
2,3,12884901892,0
3,3,12884901893,1
3,3,12884901894,1
3,3,12884901901,157
3,3,12884901900,0
3,3,12884901888,0
3,3,12884901895,0
3,3,12884901896,0
3,3,12884901890,0
3,3,12884901897,0
3,3,12884901898,0
3,3,12884901889,0
3,3,12884901891,0
3,3,12884901899,0
3,3,12884901892,0
4,3,12884901901,7179
4,3,12884901895,1
4,3,12884901889,0
5,3,12884901893,3
5,3,12884901894,1
5,3,12884901901,220
5,3,12884901900,1
5,3,12884901888,1
5,3,12884901896,0
5,3,12884901890,1
5,3,12884901897,1
5,3,12884901898,0
5,3,12884901891,1
5,3,12884901899,1
5,3,12884901892,0
6,3,12884901894,2
6,3,12884901901,79
6,3,12884901900,0
6,3,12884901890,0
6,3,12884901897,1
6,3,12884901899,0
6,3,12884901892,0
7,3,12884901901,11
7,3,12884901892,1
8,3,12884901901,6
9,3,12884901901,1
0,1,4294967316,9
0,1,4294967327,1
0,1,4294967351,0
0,1,4294967308,1
0,1,4294967336,0
0,1,4294967337,1
0,1,4294967358,4593
0,1,4294967302,2
0,1,4294967330,0
0,1,4294967323,1
0,1,4294967344,1
0,1,4294967301,1
0,1,4294967324,1
0,1,4294967315,1
0,1,4294967318,1
0,1,4294967309,1
0,1,4294967363,1
0,1,4294967329,1
0,1,4294967345,0
0,1,4294967364,0
0,1,4294967303,1
0,1,4294967342,1
0,1,4294967338,1
0,1,4294967321,0
0,1,4294967322,1
0,1,4294967296,1
0,1,4294967352,0
0,1,4294967314,2
0,1,4294967357,0
0,1,4294967332,0
