SourceVertex,SubgraphId,PartitionId:1536221,25769803776,6
superstep,partition,subgraphID,time
0,13,55834574848,6718
1,13,55834574848,1832
2,13,55834574848,130
3,13,55834574848,271
4,13,55834574848,6393
5,13,55834574848,2574
6,13,55834574848,470
7,13,55834574848,21
8,13,55834574848,3
0,23,98784247808,1959
1,23,98784247808,1839
2,23,98784247808,174
3,23,98784247808,115
4,23,98784247808,2044
5,23,98784247808,1050
6,23,98784247808,253
7,23,98784247808,112
8,23,98784247808,17
9,23,98784247808,1
0,37,158913789952,1269
0,37,158913789953,2
1,37,158913789952,1664
1,37,158913789953,19
2,37,158913789952,116
2,37,158913789953,0
3,37,158913789952,107
3,37,158913789953,1
4,37,158913789952,1645
5,37,158913789952,680
5,37,158913789953,1
6,37,158913789952,241
6,37,158913789953,0
7,37,158913789952,86
8,37,158913789952,17
9,37,158913789952,1
0,29,124554051584,1688
0,29,124554051585,2
1,29,124554051584,1837
1,29,124554051585,21
2,29,124554051584,105
2,29,124554051585,0
3,29,124554051584,105
3,29,124554051585,0
4,29,124554051584,2054
5,29,124554051584,1173
5,29,124554051585,1
6,29,124554051584,334
6,29,124554051585,1
7,29,124554051584,105
8,29,124554051584,14
9,29,124554051584,1
0,5,21474836480,2285
1,5,21474836480,1739
2,5,21474836480,105
3,5,21474836480,107
4,5,21474836480,2490
5,5,21474836480,1020
6,5,21474836480,217
7,5,21474836480,17
8,5,21474836480,2
0,39,167503724544,5
0,39,167503724545,1708
1,39,167503724544,72
1,39,167503724545,1810
2,39,167503724544,2
2,39,167503724545,109
3,39,167503724544,1
3,39,167503724545,105
4,39,167503724545,2154
5,39,167503724544,2
5,39,167503724545,1477
6,39,167503724545,433
7,39,167503724545,168
8,39,167503724545,15
9,39,167503724545,1
0,4,17179869184,4
0,4,17179869185,5073
1,4,17179869184,83
1,4,17179869185,1695
2,4,17179869184,1
2,4,17179869185,117
3,4,17179869184,1
3,4,17179869185,342
4,4,17179869185,3050
5,4,17179869184,2
5,4,17179869185,1067
6,4,17179869185,336
7,4,17179869184,1
7,4,17179869185,79
8,4,17179869185,2
9,4,17179869185,1
0,35,150323855360,727
0,35,150323855362,1
0,35,150323855361,0
1,35,150323855360,1711
1,35,150323855362,20
1,35,150323855361,37
2,35,150323855360,48
2,35,150323855362,0
2,35,150323855361,0
3,35,150323855360,78
3,35,150323855362,0
3,35,150323855361,0
4,35,150323855360,1311
5,35,150323855360,718
5,35,150323855362,1
5,35,150323855361,1
6,35,150323855360,202
6,35,150323855362,1
7,35,150323855360,44
8,35,150323855360,11
8,35,150323855361,1
9,35,150323855360,0
0,11,47244640256,3523
1,11,47244640256,1627
2,11,47244640256,112
3,11,47244640256,128
4,11,47244640256,3284
5,11,47244640256,990
6,11,47244640256,324
