#
# Directed graph - out-degree Distribution. G(4039, 88234). 591 (0.1463) nodes with out-deg > avg deg (43.7), 197 (0.0488) with >2*avg.deg (Sun Aug  7 14:19:57 2016)
#
# Out-degree	Count
0	376
1	323
2	208
3	205
4	180
5	158
6	148
7	152
8	133
9	118
10	105
11	108
12	80
13	86
14	87
15	70
16	81
17	50
18	52
19	54
20	51
21	43
22	43
23	39
24	44
25	32
26	32
27	39
28	36
29	33
30	29
31	33
32	21
33	29
34	20
35	17
36	20
37	24
38	16
39	15
40	14
41	15
42	18
43	11
44	17
45	20
46	11
47	16
48	16
49	11
50	7
51	10
52	12
53	11
54	14
55	11
56	10
57	7
58	13
59	8
60	15
61	11
62	10
63	10
64	8
65	9
66	11
67	6
68	5
69	12
70	5
71	5
72	6
73	7
74	8
75	6
76	8
77	8
78	8
79	4
80	5
81	3
82	6
83	4
84	2
85	8
86	5
87	5
88	3
89	6
90	7
91	4
92	5
93	5
94	3
95	2
97	3
98	7
99	5
100	5
101	1
102	2
104	4
105	4
106	2
107	1
108	4
109	4
110	3
111	3
112	2
113	1
114	3
115	3
117	3
118	5
119	4
120	1
121	3
122	3
123	4
124	3
125	3
126	3
129	2
130	2
131	2
132	3
133	4
136	2
137	2
138	2
139	1
140	2
143	3
144	1
146	1
147	3
148	1
149	2
150	1
151	1
152	2
153	1
154	1
156	1
159	1
160	2
161	2
162	2
163	3
164	3
165	1
168	1
170	1
174	1
179	1
183	2
185	2
187	1
189	1
191	1
207	1
215	1
225	1
347	1
542	1
748	1
778	1
1043	1
